
Rank,Athlete,Age,Team,NOC,Medal,P(1912BT),P(1985T),
1,Paavo YrjÃ¶lÃ¤,25,Finland,FIN,Gold,8053.290,6.587,OR
2,Akilles JÃ¤rvinen,22,Finland,FIN,Silver,7931.500,6.645,
3,Ken Doherty,23,United States,USA,Bronze,7706.650,6.428,
4,James Stewart,21,United States,USA,,7624.135,6.310,
5,Tom Churchill,20,United States,USA,,7417.115,6.165,
6,Helge Jansson,23,Sweden,SWE,,7286.285,6.111,
7,Ludwig Vesely,24,Austria,AUT,,7274.850,6.224,
8,Albert Andersson,26,Sweden,SWE,,7108.435,6.031,
9,Henry Lindblad,22,Sweden,SWE,,7071.425,5.906,
10,Wilhelm Ladewig,21,Germany,GER,,6881.520,5.964,
11,Hugo Barth,24,Germany,GER,,6850.605,5.885,
12,Tatsuo Toki,24,Japan,JPN,,6757.605,5.794,
13,Johan Meimer,23,Estonia,EST,,6733.150,5.636,
14,Sven Lundgren,26,Sweden,SWE,,6727.045,5.878,
15,Erwin Huber,21,Germany,GER,,6702.820,5.789,
16,Martti Tolamo,21,Finland,FIN,,6642.115,5.736,
17,Barney Berlinger,20,United States,USA,,6619.375,5.499,
18,Antoni Cejzik,28,Poland,POL,,6356.280,5.415,
19,Hermann Lemperle,21,Germany,GER,,6293.755,5.484,
20,Stelios Benardis,,Greece,GRE,,6149.910,5.270,
21,MÃ¡tyÃ¡s Farkas,24,Hungary,HUN,,6015.635,5.180,
22,Yonetaro Nakazawa,24,Japan,JPN,,5672.175,4.795,
23,Gaston Ãtienne,26,Belgium,BEL,,5256.625,4.577,
24,Branko Kallay,19,Yugoslavia,YUG,,5210.650,4.487,
25,RenÃ© Joannes-Powell,32,Belgium,BEL,,5190.650,4.780,
26,Gheorghe Csegezi,,Romania,ROU,,5081.605,4.658,
27,GÃ©rard NoÃ«l,27,Belgium,BEL,,4606.740,4.106,
AC,Con O'Callaghan,,Ireland,IRL,,,,DNF
AC,Howard Ford,22,Great Britain,GBR,,,,DNF
AC,Gaston MÃ©dÃ©cin,27,Monaco,MON,,,,DNF
AC,Adolf Meier,26,Switzerland,SUI,,,,DNF
AC,Johannes Viljoen,24,South Africa,RSA,,,,DNF
AC,Ion Haidu,,Romania,ROU,,,,DNF
AC,Gunnar Fredriksen,21,Norway,NOR,,,,DNF
AC,Gunnar Hagen,23,Norway,NOR,,,,DNF
AC,George Weightman-Smith,22,South Africa,RSA,,,,DNF
AC,Armas Wahlstedt,22,Finland,FIN,,,,DNF
AC,Virgil Ioan,,Romania,ROU,,,,DNF
